source_record_id,role,repository,accession,url,is_direct,file_type,size_bytes,size_basis,count_in_storage,retrieved_date,notes
humanbrain,raw,ENA,SRR26212851,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/051/SRR26212851/SRR26212851_1.fastq.gz,true,FASTQ,20959905000,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212851,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/051/SRR26212851/SRR26212851_2.fastq.gz,true,FASTQ,20855118413,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212852,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/052/SRR26212852/SRR26212852_1.fastq.gz,true,FASTQ,18143843981,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212852,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/052/SRR26212852/SRR26212852_2.fastq.gz,true,FASTQ,18026719832,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212854,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/054/SRR26212854/SRR26212854_1.fastq.gz,true,FASTQ,4574889767,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212854,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/054/SRR26212854/SRR26212854_2.fastq.gz,true,FASTQ,4535669587,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212859,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/059/SRR26212859/SRR26212859_1.fastq.gz,true,FASTQ,16891455190,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212859,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/059/SRR26212859/SRR26212859_2.fastq.gz,true,FASTQ,16702890714,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212861,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/061/SRR26212861/SRR26212861_1.fastq.gz,true,FASTQ,10512793143,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
humanbrain,raw,ENA,SRR26212861,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/061/SRR26212861/SRR26212861_2.fastq.gz,true,FASTQ,10458556372,exact ENA fastq_bytes,true,2026-08-01,ATAC-seq
